finnkode,job_title,job_url,employer,positions,stillingstittel,deadline,sted,bransje,stillingsfunksjon
385796455,"Skap innovasjon innen cybersikkerhet med ServiceNow, bli med i teamet vårt!",https://www.finn.no/job/fulltime/ad.html?finnkode=385796455,KPMG Norge,1 stilling,,,,,
385788850,Bli med å styrke et strømnett i stadig endring!,https://www.finn.no/job/fulltime/ad.html?finnkode=385788850,Lede AS,1 stilling,,,,,
385784020,Ta din karrierereise til nye høyder som Cloud Arkitekt hos Experis,https://www.finn.no/job/fulltime/ad.html?finnkode=385784020,EXPERIS AS AVD OSLO,1 stilling,,,,,
385782789,Bidra i Rebils vekstreise som fullstack utvikler,https://www.finn.no/job/fulltime/ad.html?finnkode=385782789,Rebil,1 stilling,,,,,
385782775,Vil du lede driften av våre kritiske IT-tjenester?,https://www.finn.no/job/management/ad.html?finnkode=385782775,Logiq AS,1 stilling,,,,,
385781762,Vil du jobbe med moderne IT-drift i et teknologidrevet selskap?,https://www.finn.no/job/fulltime/ad.html?finnkode=385781762,Logiq AS,1 stilling,,,,,
385777392,Vil du bidra med kvalitetssikring av nasjonale e-helseløsninger for innbyggere?,https://www.finn.no/job/fulltime/ad.html?finnkode=385777392,Norsk helsenett,1 stilling,,,,,
385775446,Markedskoordinator kjæledyr,https://www.finn.no/job/fulltime/ad.html?finnkode=385775446,Felleskjøpet,1 stilling,,,,,
385775143,Vil du bidra med kvalitetssikring av nasjonale e-helseløsninger for innbyggere?,https://www.finn.no/job/fulltime/ad.html?finnkode=385775143,Norsk helsenett,1 stilling,,,,,
385762430,OFV søker ny leder for kjøretøydata,https://www.finn.no/job/fulltime/ad.html?finnkode=385762430,Opplysningsrådet for veitrafikken as,1 stilling,,,,,
385773996,"Platform Engineer, Skagerak Energi AS",https://www.finn.no/job/fulltime/ad.html?finnkode=385773996,Skagerak Energi,1 stilling,,,,,
385773746,Erfaren arkitekt søkes til digital transformasjon i Statens pensjonskasse,https://www.finn.no/job/fulltime/ad.html?finnkode=385773746,STATENS PENSJONSKASSE FORVALTNINGSBEDRIFT,1 stilling,,,,,
385773617,Har du lyst til å jobbe som teamleder for utvikling av samfunnsnyttige IT-løsninger?,https://www.finn.no/job/fulltime/ad.html?finnkode=385773617,Statens vegvesen,1 stilling,,,,,
385773216,Nøkkelperson til utvikling av Norges Billetteringsplattform,https://www.finn.no/job/fulltime/ad.html?finnkode=385773216,Entur,1 stilling,,,,,
385772381,Teknisk supportmedarbeider,https://www.finn.no/job/fulltime/ad.html?finnkode=385772381,Politiets IT-enhet,3 stillinger,,,,,
385772371,Vil du utvikle funksjonalitet for en moderne plattformtjeneste?,https://www.finn.no/job/fulltime/ad.html?finnkode=385772371,Intility,4 stillinger,,,,,
385771519,Vi søker leder for sports- og nyhetsdatateamet vårt.,https://www.finn.no/job/management/ad.html?finnkode=385771519,TV 2,1 stilling,,,,,
385771511,"Senior Frontend Utvikler, Skagerak Energi AS",https://www.finn.no/job/fulltime/ad.html?finnkode=385771511,Skagerak Energi,1 stilling,,,,,
385617178,Join Sportradar's Elite Team of Architects and Shape the Future of our leading-edge sports data pipelines,https://www.finn.no/job/fulltime/ad.html?finnkode=385617178,Sportradar,1 stilling,,,,,
385771235,Er du vår nye kubernetes-ekspert? Seniorutvikler Kubernetes søkes til Helsenorge!,https://www.finn.no/job/fulltime/ad.html?finnkode=385771235,Norsk helsenett,2 stillinger,,,,,
385768984,Bli en del av Sopra Steria i Bergen!,https://www.finn.no/job/fulltime/ad.html?finnkode=385768984,Sopra Steria,3 stillinger,,,,,
385769522,Skrive kode med mening? Bli med å utvikle tjenester på Helsenorge,https://www.finn.no/job/fulltime/ad.html?finnkode=385769522,Norsk helsenett,1 stilling,,,,,
383567180,Vi ønsker oss flere senior systemutviklere til jul!🎄,https://www.finn.no/job/fulltime/ad.html?finnkode=383567180,ALV AS,2 stillinger,,,,,
385769245,Vi søker infrastrukturspesialist IT nettverk - er det deg?,https://www.finn.no/job/fulltime/ad.html?finnkode=385769245,Statens vegvesen,1 stilling,,,,,
385768410,Vil du bidra til økt fokus på personvern i Møre og Romsdal?,https://www.finn.no/job/fulltime/ad.html?finnkode=385768410,Interkommunalt arkiv for Møre og Romsdal,1 stilling,,,,,
385769131,Fra serverrom til skyhimmelen – Vil du ta styringen?,https://www.finn.no/job/fulltime/ad.html?finnkode=385769131,EXPERIS AS,1 stilling,,,,,
